NFCSID,A1,A2,A3,B2_1,B2_2,B2_3,B2_4,B2_5,B2_6,B2_7,B2_8,B3,B4,B5,B6,B8,B10,B11,C1,C2,C3,C4,C5_1,C5_2,C5_3,C5_4,C5_5,C6,C7,C8,C9,C10_1,C10_2,C10_3,C11,C12,C13,C14,C15,C16_1,C16_2,C16_3,D1_1,D1_2,D2,D3,D4,E1_1,E1_2,E1_3,E2,E3,E4,E5,E6,F1_1,F1_2,F1_3,F1_4,F1_5,F1_6,F1_7,F1_8,F1_9,F2_1,F2_2,F2_3,F2_4,F2_5,F2_6,F2_7,F3_1,F3_2,F3_3,F3_4,F3_5,F3_6,F3_7,F3_8,F4,F5,G1,G2,G4,G5,G6,G7,G8,G9,G10,G11,G12,G13,G14_1,G14_2,G14_3,G14_4,G14_98,G14_99,H2,H3,WGT1,S_Gender,S_Age,S_Ethnicity,S_Education,S_Income
2015010006,1,1,1,1,1,1,1,2,1,2,98,4,10,1,2,2,3,2,2,1,5,1,1,3,3,3,3,2,1,9,1,2,2,3,2,3,10,10,5,1,2,2,1,1,2,1,4,1,1,1,1,3,3,2,2,1,2,1,1,2,2,2,2,2,1,1,1,2,2,1,1,2,2,1,1,1,1,1,1, ,1,7,5,1,2,2,1,1,3,4,3,3,4,1,1,0,0,0,0,2,1,0.592976,1,3,1,2,3
2015010014,1,1,1,1,1,1,1,1,1,1,2,3,8,1,1,1,2,1,2,1,5,1,2,2,3,3,3,3,1,9,1,2,2,2,1,3,9,9,6,1,1,1,9,9,4,3,4,9,9,8,1,3,1,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,9,6,1,1,1,1,1,4,2,3,2,3,0,1,0,0,0,0,1,1,0.592976,2,3,1,2,2
2015010023,2,1,1,1,1,2,1,2,2,2,1,3,3,98, ,1,3,2,1, , , ,1,2,2,2,1,2,2, , ,2,3,3,98,1,10,10,7,1,2,2,5,8,2,2,1,9,8,7,2, , ,3,3,2,2,1,1,1,2,2,2,1,2,2,2,2,2,1,2,2,2,2,1,2,2,2,2, ,2,7,5,1,2,3,1,1,4,98,3,98,98,0,0,0,0,1,0,1,1,0.996739,1,1,1,2,3
2015010033,2,1,1,1,1,1,2,1,2,2,2,1,10,2, ,2,3,2,3,1,98,98,2,3,3,2,2,2,2,10,2,1,1,1,2,2,8,9,7,2,2,1,7,6,98,2,1,7,7,7,2, , ,2,98,1,1,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,1,1,2,2,2, ,2,7,3,1,3,1,1,4,98,1,3,2,4,1,1,1,0,0,0,1,2,0.778899,2,2,1,2,3
2015010034,1,1,1,1,1,2,1,2,2,1,2,4,7,2, ,1,1,2,2,2,2,2,3,2,1,1,1,1,98,10,2,3,2,98,2,2,7,9,7,1,2,2,7,7,5,2,1,7,6,7,98, , ,4,4,1,2,1,2,1,2,2,2,1,1,2,2,1,2,1,2,1,1,1,1,2,1,1,2,1,1,6,7,1,1,2,1,2,1,2,3,2,4,1,0,0,0,0,0,2,1,0.996739,1,1,2,2,2
2015010040,1,1,1,2,2,1,2,2,1,2,2,4,2,2, ,2,4,2,1, , , ,2,2,2,3,2,3,2, , ,1,1,1,2,2,8,7,4,1,2,2,5,5,2,2,4,4,3,4,1,2,2,3,4,2,2,2,2,1,2,2,2,2,2,1,2,2,1,1,2,2,2,2,1,1,1,2,1, ,2,5,4,1,2,2,2,1,4,4,3,3,3,1,0,0,0,0,0,2,1,0.592976,1,3,1,2,2
2015010041,2,1,1,1,2,2,2,2,2,2,2,1,6,1,2,1,4,1,1, , , ,1,3,2,2,98,3,2, , ,1,2,3,2,2,4,8,4,1,2,2,4,2,3,2,4,6,6,3,1,2,3,2,3,1,2,2,1,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,1,1,2,2,2, ,2,4,3,1,2,3,1,1,4,4,3,3,4,1,0,0,0,0,0,1,1,0.592976,1,3,2,2,2
2015010044,1,1,1,1,2,2,2,2,2,2,2,1,4,98, ,2,3,2,1, , , ,1,2,2,1,2,2,2, , ,3,3,2,2,2,8,7,6,1,2,2,7,6,3,2,5,6,7,8,1,2,3,3,4,2,2,1,1,1,2,2,2,2,2,1,2,2,2,1,2,2,2,2,1,1,1,2,2, ,1,7,4,1,2,2,2,1,5,3,3,2,2,1,0,0,0,0,0,1,1,0.778899,1,2,1,2,2
2015010046,1,1,1,1,1,1,2,2,2,2,2,1,5,98, ,2,3,1,3,1,3,1,1,3,3,3,3,3,2,9,1,1,3,3,2,3,8,9,6,1,2,2,8,4,2,2,2,6,5,4,1,3,1,3,3,1,1,1,1,1,1,1,2,1,1,1,2,2,1,2,2,1,2,2,1,1,1,1,2,2,1,5,3,1,2,98,1,1,3,98,98,1,3,1,0,0,0,0,0,2,1,0.592976,1,3,1,2,1
2015010054,1,1,1,2,2,1,2,2,2,2,2,1,6,2, ,2,4,3,1, , , ,1,3,2,1,2,3,2, , ,2,3,2,2,1,7,7,98,2,2,2,98,98,4,98,1,7,98,7,1,1,3,3,98,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,1,1,2,2,2, ,2,6,5,1,2,2,1,1,98,1,3,2,98,1,1,0,0,0,0,2,1,1.229115,1,3,1,1,2
