NFCSID,A1,A2,A3,B2_1,B2_2,B2_3,B2_4,B2_5,B2_7,B2_20,B2_21,B2_23,B2_24,B2_25,B30,B31,B3,B32,B4,B5,B6,B20,B33,B34,B10,B11,B35,B23,B24,B25,B26,C22_1,C22_2,C22_3,C22_4,C23_1,C23_2,C23_3,C23_4,C24,C25,C26,C30,C7,D1_1,D1_2,D2,D3,D21,D30,D31,E1_1,E20,E5,E6,F30_1,F30_2,F30_3,F30_4,F30_5,F30_6,F30_7,F30_8,F30_9,F30_10,F30_11,F30_12,F31_1,F31_2,F31_3,F31_4,F31_5,F31_6,F31_7,F31_8,F31_9,F31_10,F31_11,G1,G2,G30_1,G30_2,G30_3,G30_4,G30_5,G30_6,G31,G4,G5,G6,G7,G21,G8,G22,G11,G12,G13,G23,H31,WGT1,S_Gender2,S_Age,S_Ethnicity,S_Education,S_Income
2021010001,1,1,1,1,2,1,2,2,2,1,1,2,2,2,4,1,4,2,8,1,2, ,1,2,2,1,2,1,4,1,1,1,2,3,2,2,2,2,2,2,7,1,1,1,9,7,5,2,1,3,5,7,2,3,4,2,3,2,3,3,2,3,2,1,2,1,1,1,2,2,2,2,2,2,2,2,2,2,9,5,1,3,1,1,2,3,8,1,2,2,1,2,1,2,3,2,3,98,1,1.73604906279066,2,1,1,2,3
2021010028,1,1,1,1,2,1,2,2,2,1,2,2,2,2,5,1,3,1,5,1,2, ,1,2,3,2,2,1,3,2,98,1,2,3,3,2,1,2,2,3,10,2,2,2,7,6,3,2,1,3,2,7,1,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,8,4,2,3,2,1,1,1,10,2,1,2,2,1,5,1,2,3,3,2,1,.547489916262363,2,3,1,2,1
2021010039,1,1,1,1,1,1,98,2,2,2,2,2,2,2,5,1,3,2,7,98, , ,1,1,3,2,2,1,4,2,1,2,2,2,1,1,1,98,98,3,7,98,2,98,8,6,3,2,1,98,3,7,2,3,3,2,2,1,2,2,1,1,2,1,2,1,2,2,2,2,2,2,2,2,2,2,2,2,6,5,2,3,2,1,2,2,5,1,2,2,98,2,1,2,3,2,4,2,2,.547489916262363,1,3,1,2,2
2021010045,2,2,1,2,2,98,98,98,2,2,2,2,2,98,2,98,1,2,2,98, , ,98, ,3,98,2,1,4,2,1,98,1,3,3,2,2,2,2,98, ,98,98,2,6,6,98,98,98,1,5,98,98,98,2,99,99,99,99,99,99,99,99,99,99,99,3,1,2,2,2,2,2,2,2,2,2,2,7,5,2,2,1,98,98,2,7,98,98,98,98,1,98,98,98,98,98,98,2,1.63877296688841,1,2,2,1,1
2021010048,1,1,1,1,2,1,2,2,2,2,2,2,2,2,5,1,2,2,6,98, , ,98, ,3,1,2,1,5,2,2,2,2,1,1,2,1,2,2,2,8,2,2,2,7,1,3,3,98,98,2,7,98,3,3,3,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,8,6,2,2,1,1,1,1,3,2,2,98,1,1,1,3,3,3,2,3,2,.870537201388863,1,3,1,1,1
2021010050,1,1,1,1,2,2,1,2,2,2,1,2,2,2,3,3,3,2,3,98, , ,98, ,3,2,2,1,4,2,2,1,1,2,1,2,2,2,2,2,7,2,2,2,10,9,3,2,1,1,1,7,1,3,4,1,3,1,2,1,1,2,2,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,10,5,1,3,1,1,1,3,1,1,2,3,1,2,1,2,98,3,98,98,2,.903030607790991,2,2,2,2,2
2021010085,1,1,1,1,1,1,98,2,2,2,2,2,2,2,5,1,2,2,8,98, , ,98, ,3,1,2,1,98,2,2,3,2,1,1,2,1,98,1,2,9,2,2,2,9,8,3,98,3,2,1,9,1,3,2,2,2,1,1,2,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,8,5,1,3,1,1,1,1,3,1,2,2,2,2,1,98,3,3,4,98,2,.547489916262363,1,3,1,2,2
2021010088,1,1,1,2,2,1,2,2,2,2,2,2,2,2,4,3,1,2,6,2, , ,98, ,1,1,2,1,4,2,2,1,2,1,1,2,2,1,1,3,10,2,2,2,8,5,4,2,3,3,1,10,1,3,2,3,3,1,1,1,1,1,1,1,2,1,1,2,2,2,2,2,2,2,2,2,2,2,7,4,1,3,1,1,1,2,1,1,2,2,1,1,1,98,1,1,3,98,1,.547489916262363,2,3,2,2,2
2021010090,1,1,1,1,2,2,2,2,2,1,2,2,2,2,3,98,4,2,7,2, , ,2, ,4,2,2,1,5,2,2,2,2,3,1,1,1,2,1,3,3,2,2,2,7,7,3,2,3,3,3,7,1,3,2,2,2,1,2,1,1,2,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,7,3,2,2,2,1,1,3,5,98,98,98,1,98,98,98,98,98,98,98,1,.547489916262363,2,3,1,2,2
2021010095,1,1,1,1,2,2,2,1,2,98,2,2,2,2,5,1,1,2,8,98, , ,98, ,4,3,2,2, , , ,1,1,1,1,2,98,98,98,2,6,2,2,2,98,98,98,98,3,3,1,98,98,3,2,3,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,1,1,3,1,1,1,1,98,98,98,98,1,1,98,98,98,2,98,98,2,.870537201388863,2,3,1,1,1
